Date,Stock_Ticker,Market_Cap,HA_Close,EMA_89
2023-03-01,CIPLA,Mid Cap,870.47,726.88
2023-03-01,MARUTI,Large Cap,8208.56,6562.91
2023-03-01,SBIN,Large Cap,500.42,339.17
2023-03-01,KOTAKBANK,Large Cap,1712.38,1434.13
2023-03-01,GRASIM,Mid Cap,1568.1,1104.85
2023-03-01,BHARTIARTL,Large Cap,741.73,509.17
2023-03-01,TCS,Large Cap,3124.77,2310.11
2023-03-01,JSWSTEEL,Mid Cap,664.57,401.91
2023-03-01,RELIANCE,Large Cap,1059.03,766.95
2023-03-01,AXISBANK,Large Cap,846.03,635.83
2023-02-01,KOTAKBANK,Large Cap,1736.14,1427.57
2023-02-01,ADANIPORTS,Mid Cap,552.08,499.56
2023-02-01,WIPRO,Large Cap,190.38,166.35
2023-02-01,NTPC,Large Cap,155.13,105.3
2023-02-01,SBIN,Large Cap,508.01,335.37
2023-02-01,POWERGRID,Large Cap,147.23,95.95
2023-02-01,AXISBANK,Large Cap,860.0,630.88
2023-02-01,NESTLEIND,Large Cap,914.43,661.38
2023-02-01,BHARTIARTL,Large Cap,749.16,503.69
2023-02-01,TATAMOTORS,Mid Cap,431.6,324.91
2023-02-01,SUNPHARMA,Large Cap,969.08,649.26
2023-02-01,TCS,Large Cap,3249.93,2290.91
2023-02-01,HDFCBANK,Large Cap,773.17,541.56
2023-02-01,INFY,Large Cap,1435.36,957.03
2023-02-01,ASIANPAINT,Large Cap,2701.91,2001.0
2023-02-01,CIPLA,Mid Cap,944.23,723.49
2023-02-01,TITAN,Large Cap,2376.5,1428.4
2023-02-01,ITC,Large Cap,329.67,205.64
2023-02-01,HINDUNILVR,Large Cap,2431.25,1767.61
2023-02-01,ULTRACEMCO,Large Cap,7085.0,4947.05
2023-02-01,LT,Large Cap,2090.71,1327.54
2023-02-01,JSWSTEEL,Mid Cap,688.01,395.72
2023-02-01,GRASIM,Mid Cap,1571.79,1093.93
2023-02-01,RELIANCE,Large Cap,1079.53,760.07
2023-02-01,MARUTI,Large Cap,8524.93,6524.11
2023-01-01,GRASIM,Mid Cap,1625.55,1082.66
2023-01-01,LT,Large Cap,2087.91,1309.54
2023-01-01,BHARTIARTL,Large Cap,774.15,497.9
2023-01-01,WIPRO,Large Cap,189.46,165.78
2023-01-01,NESTLEIND,Large Cap,935.15,655.41
2023-01-01,TITAN,Large Cap,2450.95,1406.04
2023-01-01,TATAMOTORS,Mid Cap,413.95,322.39
2023-01-01,CIPLA,Mid Cap,1024.57,718.28
2023-01-01,POWERGRID,Large Cap,144.08,94.74
2023-01-01,ULTRACEMCO,Large Cap,6897.83,4896.6
2023-01-01,TCS,Large Cap,3177.0,2268.28
2023-01-01,HDFCBANK,Large Cap,774.37,536.1
2023-01-01,AXISBANK,Large Cap,902.61,625.47
2023-01-01,ITC,Large Cap,309.57,202.71
2023-01-01,MARUTI,Large Cap,8362.67,6476.9
2023-01-01,HINDUNILVR,Large Cap,2483.27,1751.95
2023-01-01,JSWSTEEL,Mid Cap,730.35,388.82
2023-01-01,ASIANPAINT,Large Cap,2814.33,1984.46
2023-01-01,INFY,Large Cap,1419.5,945.75
2023-01-01,ADANIPORTS,Mid Cap,688.86,498.32
2023-01-01,SBIN,Large Cap,546.86,331.3
2023-01-01,NTPC,Large Cap,154.06,104.12
2023-01-01,RELIANCE,Large Cap,1119.65,752.53
2023-01-01,SUNPHARMA,Large Cap,994.39,641.71
2023-01-01,KOTAKBANK,Large Cap,1764.36,1420.29
2022-12-01,LT,Large Cap,2053.76,1291.16
2022-12-01,TATAMOTORS,Mid Cap,406.4,320.23
2022-12-01,KOTAKBANK,Large Cap,1878.77,1412.16
2022-12-01,ULTRACEMCO,Large Cap,6937.05,4849.34
2022-12-01,INFY,Large Cap,1479.53,934.56
2022-12-01,RELIANCE,Large Cap,1202.44,743.86
2022-12-01,ITC,Large Cap,305.42,200.19
2022-12-01,GRASIM,Mid Cap,1729.75,1069.84
2022-12-01,NTPC,Large Cap,154.74,102.94
2022-12-01,SUNPHARMA,Large Cap,992.62,633.39
2022-12-01,HINDUNILVR,Large Cap,2519.39,1734.68
2022-12-01,ASIANPAINT,Large Cap,3045.49,1964.86
2022-12-01,AXISBANK,Large Cap,920.95,618.93
2022-12-01,JSWSTEEL,Mid Cap,742.78,380.76
2022-12-01,ADANIPORTS,Mid Cap,836.68,493.82
2022-12-01,HDFCBANK,Large Cap,775.82,530.47
2022-12-01,POWERGRID,Large Cap,145.62,93.57
2022-12-01,SBIN,Large Cap,572.62,326.21
2022-12-01,CIPLA,Mid Cap,1082.02,711.05
2022-12-01,WIPRO,Large Cap,191.23,165.22
2022-12-01,TCS,Large Cap,3188.29,2246.82
2022-12-01,BHARTIARTL,Large Cap,803.13,491.37
2022-12-01,NESTLEIND,Large Cap,961.99,648.8
2022-12-01,TITAN,Large Cap,2570.32,1381.36
2022-12-01,MARUTI,Large Cap,8377.57,6432.37
2022-11-01,AXISBANK,Large Cap,885.49,611.79
2022-11-01,SBIN,Large Cap,560.25,320.38
2022-11-01,BHARTIARTL,Large Cap,820.09,484.0
2022-11-01,ITC,Large Cap,314.3,197.7
2022-11-01,JSWSTEEL,Mid Cap,696.95,372.2
2022-11-01,ULTRACEMCO,Large Cap,6781.66,4800.0
2022-11-01,ASIANPAINT,Large Cap,3040.6,1939.32
2022-11-01,NTPC,Large Cap,158.27,101.72
2022-11-01,TITAN,Large Cap,2661.28,1353.26
2022-11-01,MARUTI,Large Cap,8988.6,6386.39
2022-11-01,SUNPHARMA,Large Cap,1003.43,624.9
2022-11-01,TATAMOTORS,Mid Cap,419.93,318.19
2022-11-01,LT,Large Cap,1990.47,1273.13
